escenario,sign_ns,cifTabla_ns,verif_ns,cifRespSym_ns,cifRespAsim_ns
concurrent-64,1006900,78200,15400,291600,934700
concurrent-64,1057900,127800,16000,113000,72500
concurrent-64,994800,75500,19000,93100,76800
concurrent-64,5222600,139400,17400,52800,98800
concurrent-64,1081100,88100,15600,54900,4544700
concurrent-64,1023800,90200,20600,61100,128100
concurrent-64,997000,60800,21100,53900,71300
concurrent-64,1101300,63300,20900,67100,72700
concurrent-64,1107500,131000,10500,42900,67500
concurrent-64,1468900,116800,23200,46400,79100
concurrent-64,1017400,123900,13100,51000,72800
concurrent-64,982300,58800,18400,53300,67100
concurrent-64,1022200,91000,12400,48300,73500
concurrent-64,1066400,143500,11200,43000,69700
concurrent-64,1602600,58900,8200,41200,76900
concurrent-64,1041600,58300,14900,47500,68800
concurrent-64,991100,47800,23200,54400,94200
concurrent-64,998600,60500,6800,51000,80900
concurrent-64,962100,61700,15700,64000,70900
concurrent-64,985400,106800,17300,48000,74900
concurrent-64,976800,74700,20600,54400,69100
concurrent-64,1051500,88000,12000,47000,71700
concurrent-64,877800,45200,12900,49300,87200
concurrent-64,1025300,158200,12500,40900,71100
concurrent-64,1006700,48300,30100,50200,72300
concurrent-64,1004000,74900,17500,52400,75100
concurrent-64,928100,75300,17500,40500,71100
concurrent-64,931600,50100,8600,31900,50500
